sample_id,reference_text,asr_hypothesis,corrected_from_asr,corrected_from_reference,wer_asr_raw,wer_after_correction,wer_overcorrection,verdict
utt_id_test_001840,dòng sữa đầu mỗi cử bú sữa đầu dòng chứa nhiều nước và đáp ứng nhu cầu nước của trẻ khi trẻ tiếp tục bú sữa cuối dòng,là dòng sữa đầu mỗi gửi bú sữa đầu dòng chứa nhiều nước và đáp ứng nhu cầu nước của trẻ khi trẻ tiếp tục bú sữa cuối dòng sẽ đều bú.,là dòng sữa đầu mỗi gửi bú sữa đầu dòng chứa nhiều nước và đáp ứng nhu cầu nước của trẻ khi trẻ tiếp tục bú sữa cuối dòng sẽ đều bú.,"Dòng sữa đầu: mỗi cử bú sữa đầu dòng chứa nhiều nước và đáp ứng nhu cầu nước của trẻ, khi trẻ tiếp tục bú sữa cuối dòng.",0.1786,0.1786,0.0,khong_doi
utt_id_test_001858,khác cho con mình hiện nay tầm quan trọng và chất lượng vượt trội của sữa mẹ,để chăm sóc cho con mình hiện nay tầm quan trọng và chất lượng vượt trội của sữa mẹ.,để chăm sóc cho con mình hiện nay tầm quan trọng và chất lượng vượt trội của sữa mẹ.,khác cho con mình hiện nay tầm quan trọng và chất lượng vượt trội của sữa mẹ.,0.1765,0.1765,0.0,khong_doi
utt_id_test_001882,để rã đông sữa mẹ bún sữa đã đông không thể dùng để tái đông lại đượ,unk microwave để rã đông sữa mẹ bốn sữa đã rã đông không thể dùng để tái đông lại được.,unk microwave để rã đông sữa mẹ bốn sữa đã rã đông không thể dùng để tái đông lại được.,"Để rã đông sữa mẹ bún, sữa đã đông không thể dùng để tái đông lại được.",0.2941,0.2941,0.0588,khong_doi
utt_id_test_002070,sau sinh ở các mẹ khác nhau độ đậm đặc và màu sắc của sữa non cũng khác nhau,ở các mẹ khác nhau độ đậm đặc và màu sắc của sữa non cũng khác nhau.,ở các mẹ khác nhau độ đậm đặc và màu sắc của sữa non cũng khác nhau.,"Sau sinh, ở các mẹ khác nhau, độ đậm đặc và màu sắc của sữa non cũng khác nhau.",0.1053,0.1053,0.0,khong_doi
utt_id_test_002188,uống nhiều cà phê đâu cũng gây đào thải canxi muối là hạn chế hấp thu canxi và,uống nhiều cà phê nó cũng gây đào thải canxi muối hạn chế hấp thu canxi và.,uống nhiều cà phê nó cũng gây đào thải canxi muối hạn chế hấp thu canxi và.,"Uống nhiều cà phê đâu cũng gây đào thải canxi, muối là hạn chế hấp thu canxi và.",0.1111,0.1111,0.0,khong_doi
utt_id_test_002197,một phần trăm còn lại nằm trong máu mà nếu mà có lượng canxi này nó bị hạ đi thì nó sẽ gây ra hiện tượng là chúng ta,mà một phần trăm còn lại nằm trong máu á mà nếu mà cái lượng canxi này nó bị hạ đi á thì nó sẽ gây ra hiện tượng là.,mà một phần trăm còn lại nằm trong máu á mà nếu mà cái lượng canxi này nó bị hạ đi á thì nó sẽ gây ra hiện tượng là.,"Một phần trăm còn lại nằm trong máu mà nếu mà có lượng canxi này, nó bị hạ đi thì nó sẽ gây ra hiện tượng là chúng ta.",0.2069,0.2069,0.0,khong_doi
utt_id_test_002233,rồi là thường nó có đau đớn gì hết trơn ở nhà bình thường nhưng mà đúng khi mà nó gãy xương và một biến chứng gãy xương nằm,là thường nó không có đau đớn gì hết trơn á ở nhà bình thường nhưng mà đến khi mà nó gãy xương hoặc là một biến chứng gãy xương để nó nằm.,là thường nó không có đau đớn gì hết trơn á ở nhà bình thường nhưng mà đến khi mà nó gãy xương hoặc là một biến chứng gãy xương để nó nằm.,"Rồi là thường, nó có đau đớn gì hết trơn ở nhà bình thường, nhưng mà đúng khi mà nó gãy xương và một biến chứng gãy xương nằm.",0.2759,0.2759,0.0,khong_doi
utt_id_test_002234,chúng ta đi mà nắng một chút dù nó đang một chút và thậm chí tốt nhất bây giờ là chúng ta đi tắm hồ bơi tuy nó hơi đen,tức là chúng ta đi ngoài nắng một chút dù nó đắng một chút và thậm chí tốt nhất bây giờ là chúng ta đi tắm hồ bơi đó tuy nó hơi đen.,tức là chúng ta đi ngoài nắng một chút dù nó đắng một chút và thậm chí tốt nhất bây giờ là chúng ta đi tắm hồ bơi đó tuy nó hơi đen.,Chúng ta đi mà nắng một chút dù nó đang một chút và thậm chí tốt nhất bây giờ là chúng ta đi tắm hồ bơi tuy nó hơi đen.,0.1667,0.1667,0.0,khong_doi
utt_id_test_002262,đang vận động thì không thể nào tuy nhiên tôi giải thích thêm nữa là anh là người làm việc nặng thì có thể là ngày xưa anh,đang vận động thì không thể nào tuy nhiên tôi giải thích thêm cái là anh là người làm việc nặng thì có thể là ngày xưa.,đang vận động thì không thể nào tuy nhiên tôi giải thích thêm cái là anh là người làm việc nặng thì có thể là ngày xưa.,"Đang vận động thì không thể nào, tuy nhiên tôi giải thích thêm nữa là anh là người làm việc nặng thì có thể là ngày xưa anh.",0.0714,0.0714,0.0,khong_doi
utt_id_test_002299,sĩ không kê thực phẩm chức năng ở đây mà khuyến cáo là chạy nên đi bộ nắng nè rồi ba sáu tuổi này còn tốt quá thứ hai là,không kê thực phẩm chức năng ở đây mà khuyến cáo là chị nên đi bộ ngoài nắng nè rồi ba sáu tuổi lại đi bộ ngoài nắng tốt quá thứ hai là.,không kê thực phẩm chức năng ở đây mà khuyến cáo là chị nên đi bộ ngoài nắng nè rồi ba sáu tuổi lại đi bộ ngoài nắng tốt quá thứ hai là.,"Sĩ không kê thực phẩm chức năng ở đây mà khuyến cáo là chạy nên đi bộ, nắng nè, rồi ba sáu tuổi này còn tốt quá, thứ hai là.",0.2667,0.2667,0.0,khong_doi
utt_id_test_002365,thư thì nó gây hoại tử xương hàm có khi ra liều cao quá có thể giải chỉ còn thật sự,ung thư thì nó gây hoại tử xương hàm có khi nó liều cao quá có thể dậy chứ còn unk.,ung thư thì nó gây hoại tử xương hàm có khi nó liều cao quá có thể dậy chứ còn unk.,"Thường thì nó gây hoại tử xương hàm, có khi ra liều cao quá có thể giải chỉ còn thật sự.",0.2857,0.2857,0.0476,khong_doi
utt_id_test_002414,cũng phải thấy buồn đó là không thể điều trị được và bệnh là ừ nó là không có lây nhiễm tuy nhiên,ai cũng phải thấy buồn là không thể điều trị được và bệnh là nó là không có lây nhiễm tuy nhiên.,ai cũng phải thấy buồn là không thể điều trị được và bệnh là nó là không có lây nhiễm tuy nhiên.,"Cũng phải thấy buồn, đó là không thể điều trị được và bệnh là từ nó, là không có lây nhiễm, tuy nhiên.",0.1304,0.1304,0.0435,khong_doi
utt_id_test_002419,lần có thể chất ba tháng một lần chết một năm một lần vậy làm sao nhớ uống một tuần một lần làm sao nhớ bệnh nhân không,có thể chích ba tháng một lần chích một năm một lần vậy làm sao nhớ uống một tuần một lần làm sao nhớ.,có thể chích ba tháng một lần chích một năm một lần vậy làm sao nhớ uống một tuần một lần làm sao nhớ.,"lần, có thể chất ba tháng một lần, chết một năm một lần, vậy làm sao nhớ uống một tuần một lần, làm sao nhớ bệnh nhân không?",0.2143,0.2143,0.0,khong_doi
utt_id_test_002466,bác sĩ cũng cảm thấy như vậy là điều gì suốt lại và phòng ngừa loãng xương là từ thời thơ ấu từ thuở mà mới đầu thai ha,thì cũng cảm thấy như vậy là điều trị xuất ngoại và phòng ngừa loãng xương là từ thời thơ ấu từ thể mà mới đổi thai ha.,thì cũng cảm thấy như vậy là điều trị xuất ngoại và phòng ngừa loãng xương là từ thời thơ ấu từ thể mà mới đổi thai ha.,"Bác sĩ cũng cảm thấy như vậy là điều gì suốt lại và phòng ngừa loãng xương là từ thời thơ ấu, từ thuở mà mới đầu thai nghén.",0.2414,0.2414,0.0345,khong_doi
utt_id_test_002473,nhưng mà có chuyện mà thiếu hụt canxi thì nó có thể xảy ra nhiều hơn là là,tuổi của bạn nhưng mà cái chuyện mà thiếu hụt canxi thì nó có thể xảy ra nhiều hơn là.,tuổi của bạn nhưng mà cái chuyện mà thiếu hụt canxi thì nó có thể xảy ra nhiều hơn là.,Nhưng mà có chuyện mà thiếu hụt canxi thì nó có thể xảy ra nhiều hơn là là.,0.2778,0.2778,0.0,khong_doi
utt_id_test_002496,bác sĩ là nãy giờ có thể nói này rất là nhiều sữa sữa là phải hiểu mới,và nãy giờ bác sĩ nói là rất là nhiều sữa sữa là phải hiểu.,và nãy giờ bác sĩ nói là rất là nhiều sữa sữa là phải hiểu.,"Bác sĩ ơi, giờ có thể nói này, rất là nhiều sữa, sữa là phải hiểu mới.",0.3889,0.3889,0.1111,khong_doi
utt_id_test_002534,những cục u như thế này thì gọi là u xơ tử cung toàn bộ thì những trường hợp này,những cọc u như thế này thì gọi là ut tự công toàn bộ thì những trường hợp này.,những cọc u như thế này thì gọi là ut tự công toàn bộ thì những trường hợp này.,"Những cục u như thế này thì gọi là u xơ tử cung, toàn bộ thì những trường hợp này.",0.25,0.25,0.0,khong_doi
utt_id_test_002575,máu âm đạo bất thường không có đúng ngày kinh nhưng mà kéo dài thì gọi là là,đâm đạm bất thường không có đống hài kinh nhưng mà kéo dài thì gọi là đống huyết.,đâm đạm bất thường không có đống hài kinh nhưng mà kéo dài thì gọi là đống huyết.,"Máu âm đạo bất thường, không có đúng ngày kinh nhưng mà kéo dài thì gọi là là.",0.3889,0.3889,0.0,khong_doi
utt_id_test_002601,bàng quang này cổ tử cung mà dưới này mà đây là hà,này cổ từ công mà dưới này mà đây là.,này cổ từ công mà dưới này mà đây là.,"Bàng quang này, cổ tử cung mà, dưới này mà đây là hà.",0.3846,0.3846,0.0,khong_doi
utt_id_test_002604,đầu đối với những bệnh nhân rong kinh rong huyết để tìm tìm kiếm vị trí máu chảy ra từ đâu,đặt lệnh hàng đầu đối với những bệnh nhân đâm kinh đâm huyết để tìm tìm cái vị trí máu chảy ra từ đâu.,đặt lệnh hàng đầu đối với những bệnh nhân đâm kinh đâm huyết để tìm tìm cái vị trí máu chảy ra từ đâu.,"đầu đối với những bệnh nhân rong kinh, rong huyết để tìm tìm kiếm vị trí máu chảy ra từ đâu.",0.2857,0.2857,0.0,khong_doi
utt_id_test_002620,vì về cận lâm sàng thì ngoài cái công thức máu để biết được mức độ mất máu của,thì về cận linh phàn thì ngoài cái công thức máu để biết được mức độ mất máu.,thì về cận linh phàn thì ngoài cái công thức máu để biết được mức độ mất máu.,Vì về cận lâm sàng thì ngoài cái công thức máu để biết được mức độ mất máu của.,0.2105,0.2105,0.0,khong_doi
utt_id_test_002655,tức là progesterone nhưng mà cái tên thuốc của nó cái nhóm progesterone là xong,tức là brân gây tê rôn nhưng mà cái tên thuốc của nó thì cái nhóm brân gây tê rôn là đỗ quốc tông.,tức là gây tê rôn nhưng mà cái tên thuốc của nó thì cái nhóm gây tê rôn là đỗ quốc tông.,"tức là progesterone, nhưng mà cái tên thuốc của nó, cái nhóm progesterone là xong.",0.8,0.6667,0.0,tot_len
utt_id_test_002662,đối với bệnh nhân rong kinh rong huyết thì cái quan trọng nhất là hai cái xét nghiệm đó là beta hcg và và siêu âm thấy,là đối với bệnh nhân râm kinh râm huyết thì cái quan trọng nhất là hai kích phát nghiệp đó là delta hát tê rê và bài siêu âm.,là đối với bệnh nhân râm kinh râm huyết thì cái quan trọng nhất là hai kích phát nghiệp đó là delta hát tê rê và bài siêu âm.,"Đối với bệnh nhân rong kinh, rong huyết thì cái quan trọng nhất là hai cái xét nghiệm đó là beta hồng và và siêu âm thấy.",0.4444,0.4444,0.037,khong_doi
utt_id_test_002709,hai ngày tiếp theo mỗi ngày hai viên và ba ngày tiếp theo mỗi ngày một viên bệnh nhân sau khi uống vài ngày sẽ ra hết ra,viên hai ngày tiếp theo mỗi ngày hai viên và ba ngày tiếp theo mỗi ngày một viên bệnh nhân sau khi uống vài ngày sẽ ra.,viên hai ngày tiếp theo mỗi ngày hai viên và ba ngày tiếp theo mỗi ngày một viên bệnh nhân sau khi uống vài ngày sẽ ra.,"hai ngày tiếp theo mỗi ngày hai viên và ba ngày tiếp theo mỗi ngày một viên, bệnh nhân sau khi uống vài ngày sẽ ra hết ra.",0.1071,0.1071,0.0,khong_doi
utt_id_test_002746,mỏ vịt thì mình sẽ thám sát âm đạo thì tương tự như là những cái bài mà mình,mọi việc thì mình sẽ khám phá cảm đạo thì tương tự như là những cái bài mà.,mọi việc thì mình sẽ khám phá cảm đạo thì tương tự như là những cái bài mà.,"Mỏ vịt thì mình sẽ thám sát, âm đạo thì tương tự như là những cái bài mà mình.",0.3158,0.3158,0.0,khong_doi
utt_id_test_002772,nguyên nhân đó thì mọi chuyện mà thăm hỏi vì mình phải cần phải có thêm một số,để xác định nguyên nhân á thì ngoài cái chuyện mà thăm hỏi thì mình phải cần phải có thêm một số cái.,để xác định nguyên nhân á thì ngoài cái chuyện mà thăm hỏi thì mình phải cần phải có thêm một số cái.,"Nguyên nhân đó thì mọi chuyện mà thăm hỏi vì mình phải, cần phải có thêm một số.",0.4444,0.4444,0.0,khong_doi
utt_id_test_002800,uống khi mà bệnh nhân có kinh lại có thể uống vào ngày ngày đầu tiên hoặc có thể uống vào ngày thứ ba của ngày ra kinh,uống khi mà bệnh nhân có kinh lại có thể uống vào ngày đầu tiên hoặc có thể uống vào ngày thứ ba của ngày.,uống khi mà bệnh nhân có kinh lại có thể uống vào ngày đầu tiên hoặc có thể uống vào ngày thứ ba của ngày.,"uống khi mà bệnh nhân có kinh lại, có thể uống vào ngày ngày đầu tiên hoặc có thể uống vào ngày thứ ba của ngày ra kinh.",0.1071,0.1071,0.0,khong_doi
utt_id_test_002860,cái nào thì sẽ mổ cái nào không mổ cái nào phải nạo buồng tử cung cái nào phải,cái nào thì phải mổ cái nào không mổ cái nào phải nạo bù tử cung cái nào phải ơ.,cái nào thì phải mổ cái nào không mổ cái nào phải nạo bù tử cung cái nào phải ơ.,"Cái nào thì sẽ mổ, cái nào không mổ, cái nào phải nạo buồng tử cung, cái nào phải?",0.1579,0.1579,0.0,khong_doi
utt_id_test_002873,uống progesterone như duphaston nữa mà ngược lại sẽ uống viên ngừa thai kết hợp trong trái viên thuốc ngừa thai kết hợp,bạn có thể uống bruce carron như đu công nữa mà ngược lại phải uống men người thái kết hợp vì trong men thuốc người thái kết hợp.,bạn có thể uống bruce carron như đu công nữa mà ngược lại phải uống men người thái kết hợp vì trong men thuốc người thái kết hợp.,"uống progesterone như dự phòng nữa mà ngược lại, sẽ uống viên ngừa thai kết hợp trong trái, viên thuốc ngừa thai kết hợp.",0.6957,0.6957,0.087,khong_doi
utt_id_test_002875,âm có những nguyên nhân thực thể thì mình sẽ điều trị theo theo nguyên nhân thực thể còn nếu mà không có nguyên nhân,những nguyên nhân thực thể thì mình phải điều trị theo theo nguyên nhân thực thể còn nếu mà không có nguyên nhân thực thể.,những nguyên nhân thực thể thì mình phải điều trị theo theo nguyên nhân thực thể còn nếu mà không có nguyên nhân thực thể.,"Âm có những nguyên nhân thực thể thì mình sẽ điều trị theo theo nguyên nhân thực thể, còn nếu mà không có nguyên nhân.",0.2,0.2,0.0,khong_doi
utt_id_test_002886,còn nếu dương tính là mình xếp vô cái loại có thai bạn có thai nhưng mà bệnh,còn nếu dân tính là mình xếp vô cái loại có thai đó loại có thai.,Còn nếu dân tính là mình xếp vô cái loại có thai đó loại có thai.,"Còn nếu dương tính là mình xếp vô cái loại có thai, bạn có thai nhưng mà bệnh.",0.3333,0.3333,0.0,khong_doi
utt_id_test_002933,chỉ sử dụng những giải pháp hôm nay nó cũng sẽ ổn định được cho chị tốt về vấn đề không những là về đại tràng của,chị sử dụng cái giải pháp hôm nay nó cũng sẽ ổn định được cho chị tốt về vấn đề không những là về đại tràng của chị.,chị sử dụng cái giải pháp hôm nay nó cũng sẽ ổn định được cho chị tốt về vấn đề không những là về đại tràng của chị.,"Chỉ sử dụng những giải pháp hôm nay, nó cũng sẽ ổn định được cho chị tốt về vấn đề không những là về đại tràng của.",0.1111,0.1111,0.0,khong_doi
utt_id_test_002989,dụng rất tốt cho vấn đề hỗ trợ điều trị bệnh lý viêm nhiễm và đường tiêu hóa và tạo thành bốn cái thảo dược tự nhiên rất,có tác dụng rất tốt cho vấn đề hỗ trợ điều trị bệnh lý viêm nhiễm và đường tiêu hóa và tạo thành bốn cái gây thảo dược tự nhiên.,có tác dụng rất tốt cho vấn đề hỗ trợ điều trị bệnh lý viêm nhiễm và đường tiêu hóa và tạo thành bốn cái gây thảo dược tự nhiên.,dụng rất tốt cho vấn đề hỗ trợ điều trị bệnh lý viêm nhiễm và đường tiêu hóa và tạo thành bốn cái thảo dược tự nhiên rất.,0.1429,0.1429,0.0,khong_doi
utt_id_test_003017,đem lại một kết quả khả quan mà đã được làm sao tờ tin và dùng trong cái trang,đem lại một kết quả khả quan và đã được làm sao ờ tờ tin vào tùng trong cái trang tin.,đem lại một kết quả khả quan và đã được làm sao ờ tờ tin vào tùng trong cái trang tin.,đem lại một kết quả khả quan mà đã được làm sao tờ tin và dùng trong cái trang.,0.2632,0.2632,0.0,khong_doi
utt_id_test_003034,dụ cùng ăn ví dụ như là thích ăn lẩu hoặc một số rất là cái cơ thể nó bị nhạy,thường ăn ví dụ như là thích ăn lẩu hoặc một số yếu thức là cái cơ thể nó bị.,thường ăn ví dụ như là thích ăn lẩu hoặc một số yếu thức là cái cơ thể nó bị.,"Ví dụ cùng ăn, ví dụ như là thích ăn lẩu hoặc một số rất là cái cơ thể nó bị nhạy.",0.2381,0.2381,0.0476,khong_doi
utt_id_test_003038,một kết quả khả quan là bởi sao bởi vì chữa triệu chứng mà như tôi nói ở trên nó có chung là cùng đau cùng cùng đầy,kết quả khả quan đó là bởi sao bởi vì chữa triệu chứng mà như tôi nói ở trên nói với trung là cùng đau cùng.,kết quả khả quan đó là bởi sao bởi vì chữa triệu chứng mà như tôi nói ở trên nói với trung là cùng đau cùng.,"Một kết quả khả quan là bởi sao, bởi vì chữa triệu chứng mà như tôi nói ở trên, nó có chung là cùng đau, cùng cùng đầy.",0.25,0.25,0.0,khong_doi
utt_id_test_003109,đó bạn cân đối với cái việc mà cái bạn được cái có lợi hơn thì bạn có lợi hơn rất nhiều do đó cái chuyện mà bạn bạn mà,cái ích tấc đó bạn cân đối với cái việc mà cái bạn được cái có lợi hơn thì bạn có lợi hơn rất nhiều do đó cái chuyện mà bạn bạn.,Cái ích tấc đó bạn cân đối với cái việc mà cái bạn được cái có lợi hơn thì bạn có lợi hơn rất nhiều do đó cái chuyện mà bạn bạn.,"Đó, bạn cân đối với cái việc mà cái bạn được cái có lợi hơn thì bạn có lợi hơn rất nhiều, do đó cái chuyện mà bạn bạn mà.",0.1333,0.1333,0.0,khong_doi
utt_id_test_003128,chăm sóc mái tóc khá là đơn giản đa phần là chúng ta làm sạch chủ yếu thế nhưng những trục trặc những tổn thương những,ngày xưa cái việc chăm sóc mái tóc khá là đơn giản đa phần là chúng ta làm sạch là chủ yếu thế nhưng những trục trặc những tổn thương những.,"Ngày xưa cái việc chăm sóc mái tóc khá là đơn giản đa phần là chúng ta làm sạch là chủ yếu thế nhưng những trục trặc, những tổn thương những.","Chăm sóc mái tóc khá là đơn giản, đa phần là chúng ta làm sạch chủ yếu, thế nhưng những trục trặc, những tổn thương những.",0.1923,0.1923,0.0,khong_doi
utt_id_test_003167,hai vấn đề những người trẻ mà nhuộm tóc để tạo cái cái cái tóc cho đẹp thì bây,ở đây có hai vấn đề những người trẻ mà nhuộm tóc để tạo cái cái cái tóc cho đẹp á.,ở đây có hai vấn đề những người trẻ mà nhuộm tóc để tạo cái cái tóc cho đẹp á.,"Hai vấn đề, những người trẻ mà nhuộm tóc để tạo cái cái tóc cho đẹp thì bây.",0.2632,0.3158,0.0526,xau_di
utt_id_test_003301,trả lại cho họ chất lượng cuộc sống bình thường như bao người khác là được nghe được nói thế nhưng điều kỳ diệu đã xảy,trả lại cho họ chất lượng cuộc sống bình thường như bao người khác là được nghe được nói thế nhưng điều kỳ diệu đã xảy đến.,trả lại cho họ chất lượng cuộc sống bình thường như bao người khác là được nghe được nói thế nhưng điều kỳ diệu đã xảy đến.,"Trả lại cho họ chất lượng cuộc sống bình thường như bao người khác là được nghe, được nói, thế nhưng điều kỳ diệu đã xảy.",0.0385,0.0385,0.0,khong_doi
utt_id_test_003306,ta nghe được mà bé phải biết làm quen với những cái âm thanh từ đó diễn tả,được mà bé phải biết làm quen với những cái âm thanh từ đó diễn.,được mà bé phải biết làm quen với những cái âm thanh từ đó diễn.,Ta nghe được mà bé phải biết làm quen với những cái âm thanh từ đó diễn tả.,0.1667,0.1667,0.0,khong_doi
utt_id_test_003316,cũng con số này cũng khá là lớn có thể đến hơn trăm em mỗi năm nhà riêng tại,unk tử thì con số này cũng khá là lớn có thể đến hơn trăm em mỗi năm.,unk tử thì con số này cũng khá là lớn có thể đến hơn trăm em mỗi năm.,"Cũng con số này cũng khá là lớn, có thể đến hơn trăm em mỗi năm, nhà riêng tại.",0.3158,0.3158,0.0,khong_doi
utt_id_test_003398,đề trở lại chất lượng cuộc sống cho những người khiếm thính kém ở đây thì nhân sự có mặt của chủ tịch hội,vấn đề trả lại à chất lượng cuộc sống cho những người khiếm thính nghe kém và ở đây thì nhân sự có mặt của chủ tịch.,vấn đề trả lại là chất lượng cuộc sống cho những người khiếm thính nghe kém và ở đây thì nhân sự có mặt của chủ tịch.,Để trở lại chất lượng cuộc sống cho những người khiếm thính kém ở đây thì nhân sự có mặt của chủ tịch hội.,0.25,0.25,0.0417,khong_doi
utt_id_test_003417,cùng trang lứa tôi muốn sống muốn hòa nhập xã hội nhưng tôi bị,có bạn bè cùng trang lứa tôi muốn sống muốn hòa nhập xã hội nhưng tôi bị ờ.,có bạn bè cùng trang lứa tôi muốn sống muốn nhập xã hội nhưng tôi bị ờ.,"Cùng trang lứa, tôi muốn sống, muốn nhập xã hội nhưng tôi bị.",0.2857,0.3571,0.0714,xau_di
